Player,wing_feet,height_feet,wing_height_ratio
Cameron Payne,6.604166666666666666666666,6.0625,1.089347079037800687285223
Malcolm Brogdon,6.875,6.3125,1.089108910891089108910891
Shelvin Mack,6.625,6.083333333333333333333333,1.089041095890410958904109
Denzel Valentine,6.895833333333333333333333,6.333333333333333333333333,1.088815789473684210526315
James Harden,6.895833333333333333333333,6.333333333333333333333333,1.088815789473684210526315
Johnny O'Bryant,7.1875,6.604166666666666666666666,1.088328075709779179810725
K.J. McDaniels,6.9375,6.375,1.088235294117647058823529
Derrick Brown,7.208333333333333333333333,6.625,1.088050314465408805031446
Tony Mitchell,7.208333333333333333333333,6.625,1.088050314465408805031446
James Young,7.0,6.4375,1.087378640776699029126213
Thanasis Antetokounmpo,7.0,6.4375,1.087378640776699029126213
Chris McCullough,7.270833333333333333333333,6.6875,1.087227414330218068535825
Pascal Siakam,7.270833333333333333333333,6.6875,1.087227414330218068535825
John Wall,6.770833333333333333333333,6.229166666666666666666666,1.086956521739130434782608
Dez Wells,6.791666666666666666666666,6.25,1.086666666666666666666666
Kris Dunn,6.791666666666666666666666,6.25,1.086666666666666666666666
Adreian Payne,7.333333333333333333333333,6.75,1.086419753086419753086419
D'Angelo Russell,6.8125,6.270833333333333333333333,1.086378737541528239202657
Ron Baker,6.8125,6.270833333333333333333333,1.086378737541528239202657
Wesley Johnson,7.083333333333333333333333,6.520833333333333333333333,1.086261980830670926517571
Jordan Adams,6.833333333333333333333333,6.291666666666666666666666,1.086092715231788079470198
Sindarius Thornwell,6.833333333333333333333333,6.291666666666666666666666,1.086092715231788079470198
Jamie Skeen,7.104166666666666666666666,6.541666666666666666666666,1.085987261146496815286624
Chasson Randle,6.583333333333333333333333,6.0625,1.085910652920962199312714
Marquis Teague,6.604166666666666666666666,6.083333333333333333333333,1.085616438356164383561643
Tyler Ennis,6.604166666666666666666666,6.083333333333333333333333,1.085616438356164383561643
DeAndre Daniels,7.166666666666666666666666,6.604166666666666666666666,1.085173501577287066246056
TaShawn Thomas,7.166666666666666666666666,6.604166666666666666666666,1.085173501577287066246056
C.J. Leslie,7.1875,6.625,1.084905660377358490566037
James McAdoo,7.1875,6.625,1.084905660377358490566037
Terran Petteway,6.9375,6.395833333333333333333333,1.084690553745928338762215
Stanley Johnson,6.958333333333333333333333,6.416666666666666666666666,1.084415584415584415584415
Jaylen Brown,6.979166666666666666666666,6.4375,1.084142394822006472491909
Justin Anderson,6.979166666666666666666666,6.4375,1.084142394822006472491909
Markel Brown,6.729166666666666666666666,6.208333333333333333333333,1.083892617449664429530201
Rawle Alkins,6.729166666666666666666666,6.208333333333333333333333,1.083892617449664429530201
Michael Dunigan,7.270833333333333333333333,6.708333333333333333333333,1.083850931677018633540372
Will Clyburn,7.020833333333333333333333,6.479166666666666666666666,1.083601286173633440514469
Damion James,7.0625,6.520833333333333333333333,1.083067092651757188498402
C.J. Wilcox,6.8125,6.291666666666666666666666,1.08278145695364238410596
Gerald Henderson,6.854166666666666666666666,6.333333333333333333333333,1.082236842105263157894736
Alan Williams,7.145833333333333333333333,6.604166666666666666666666,1.082018927444794952681388
Wayne Selden,6.875,6.354166666666666666666666,1.081967213114754098360655
Charles Jenkins,6.625,6.125,1.081632653061224489795918
Robert Upshaw,7.458333333333333333333333,6.895833333333333333333333,1.081570996978851963746223
Shabazz Muhammad,6.916666666666666666666666,6.395833333333333333333333,1.081433224755700325732898
Damian Lillard,6.645833333333333333333333,6.145833333333333333333333,1.081355932203389830508474
Marcus Thornton,6.645833333333333333333333,6.145833333333333333333333,1.081355932203389830508474
Greg Smith,7.208333333333333333333333,6.666666666666666666666666,1.08125
Armon Johnson,6.666666666666666666666666,6.166666666666666666666666,1.081081081081081081081081
Gary Payton II,6.666666666666666666666666,6.166666666666666666666666,1.081081081081081081081081
B.J. Young,6.6875,6.1875,1.080808080808080808080808
Michael Kidd-Gilchrist,7.0,6.479166666666666666666666,1.080385852090032154340836
Trey Burke,6.458333333333333333333333,5.979166666666666666666666,1.080139372822299651567944
Dominique Jones,6.770833333333333333333333,6.270833333333333333333333,1.079734219269102990033222
Victor Oladipo,6.770833333333333333333333,6.270833333333333333333333,1.079734219269102990033222
Marcus Paige,6.520833333333333333333333,6.041666666666666666666666,1.079310344827586206896551
Cameron Oliver,7.104166666666666666666666,6.583333333333333333333333,1.079113924050632911392405
Jarnell Stokes,7.104166666666666666666666,6.583333333333333333333333,1.079113924050632911392405
Ben Bentil,7.125,6.604166666666666666666666,1.078864353312302839116719
Derrick Williams,7.125,6.604166666666666666666666,1.078864353312302839116719
Joel Bolomboy,7.145833333333333333333333,6.625,1.07861635220125786163522
Lance Stephenson,6.875,6.375,1.078431372549019607843137
R.J. Hunter,6.875,6.375,1.078431372549019607843137
Jerel McNeal,6.604166666666666666666666,6.125,1.078231292517006802721088
Nick Johnson,6.604166666666666666666666,6.125,1.078231292517006802721088
Nigel Williams-Goss,6.604166666666666666666666,6.125,1.078231292517006802721088
JaMychal Green,7.1875,6.666666666666666666666666,1.078125
DeAndre Liggins,6.916666666666666666666666,6.416666666666666666666666,1.077922077922077922077922
Allen Crabbe,6.9375,6.4375,1.0776699029126213592233
Anthony Brown,6.9375,6.4375,1.0776699029126213592233
Melvin Ejim,6.9375,6.4375,1.0776699029126213592233
Xavier Henry,6.9375,6.4375,1.0776699029126213592233
Isaiah Canaan,6.375,5.916666666666666666666666,1.077464788732394366197183
Bernard James,7.25,6.729166666666666666666666,1.077399380804953560371517
D.J. Wilson,7.25,6.729166666666666666666666,1.077399380804953560371517
Kenny Kadji,7.25,6.729166666666666666666666,1.077399380804953560371517
Kenneth Faried,7.0,6.5,1.076923076923076923076923
Alex Kirk,7.291666666666666666666666,6.770833333333333333333333,1.076923076923076923076923
Myles Turner,7.333333333333333333333333,6.8125,1.076452599388379204892966
Demetrius Jackson,6.458333333333333333333333,6.0,1.076388888888888888888888
Tyler Ulis,6.166666666666666666666666,5.729166666666666666666666,1.076363636363636363636363
Zhou Qi,7.645833333333333333333333,7.104166666666666666666666,1.076246334310850439882698
Nikola Vucevic,7.375,6.854166666666666666666666,1.075987841945288753799392
James Southerland,7.083333333333333333333333,6.583333333333333333333333,1.075949367088607594936708
Archie Goodwin,6.791666666666666666666666,6.3125,1.075907590759075907590758
Malcolm Lee,6.8125,6.333333333333333333333333,1.075657894736842105263157
Jackie Carmichael,7.125,6.625,1.075471698113207547169811
Larry Nance,7.125,6.625,1.075471698113207547169811
Otto Porter,7.125,6.625,1.075471698113207547169811
Justise Winslow,6.854166666666666666666666,6.375,1.075163398692810457516339
Treveon Graham,6.875,6.395833333333333333333333,1.074918566775244299674267
Darius Johnson-Odom,6.583333333333333333333333,6.125,1.074829931972789115646258
Terrence Jones,7.1875,6.6875,1.07476635514018691588785
Earl Clark,7.208333333333333333333333,6.708333333333333333333333,1.074534161490683229813664
P.J. Dozier,6.916666666666666666666666,6.4375,1.074433656957928802588996
Frank Jackson,6.625,6.166666666666666666666666,1.074324324324324324324324
Bam Adebayo,7.229166666666666666666666,6.729166666666666666666666,1.074303405572755417956656
Chris Walker,7.229166666666666666666666,6.729166666666666666666666,1.074303405572755417956656
Marcus Lee,7.25,6.75,1.074074074074074074074074
James Ennis,6.958333333333333333333333,6.479166666666666666666666,1.073954983922829581993569
Christian Wood,7.270833333333333333333333,6.770833333333333333333333,1.073846153846153846153846
Harry Giles,7.270833333333333333333333,6.770833333333333333333333,1.073846153846153846153846
Elfrid Payton,6.666666666666666666666666,6.208333333333333333333333,1.073825503355704697986577
DeWayne Dedmon,7.333333333333333333333333,6.833333333333333333333333,1.073170731707317073170731
Henry Sims,7.333333333333333333333333,6.833333333333333333333333,1.073170731707317073170731
Isaiah Whitehead,6.729166666666666666666666,6.270833333333333333333333,1.073089700996677740863787
Devin Robinson,7.0625,6.583333333333333333333333,1.072784810126582278481012
James Johnson,7.0625,6.583333333333333333333333,1.072784810126582278481012
Isaiah Thomas,6.145833333333333333333333,5.729166666666666666666666,1.072727272727272727272727
Buddy Hield,6.770833333333333333333333,6.3125,1.072607260726072607260726
William Buford,6.791666666666666666666666,6.333333333333333333333333,1.072368421052631578947368
Tristan Thompson,7.104166666666666666666666,6.625,1.072327044025157232704402
Rick Jackson,7.166666666666666666666666,6.6875,1.071651090342679127725856
Brandon Knight,6.5625,6.125,1.071428571428571428571428
Sam Young,6.895833333333333333333333,6.4375,1.071197411003236245954692
Chinanu Onuaku,7.229166666666666666666666,6.75,1.070987654320987654320987
Diamond Stone,7.229166666666666666666666,6.75,1.070987654320987654320987
Branden Dawson,6.916666666666666666666666,6.458333333333333333333333,1.070967741935483870967741
Avery Bradley,6.604166666666666666666666,6.166666666666666666666666,1.070945945945945945945945
Mouhammadou Jaiteh,7.270833333333333333333333,6.791666666666666666666666,1.070552147239263803680981
Tony Snell,6.958333333333333333333333,6.5,1.070512820512820512820512
Gorgui Dieng,7.291666666666666666666666,6.8125,1.070336391437308868501528
DeAndre Kane,6.666666666666666666666666,6.229166666666666666666666,1.070234113712374581939799
Keith Benson,7.3125,6.833333333333333333333333,1.070121951219512195121951
Nerlens Noel,7.3125,6.833333333333333333333333,1.070121951219512195121951
Stanley Robinson,7.0,6.541666666666666666666666,1.070063694267515923566879
Jabari Brown,6.6875,6.25,1.07
John Jenkins,6.708333333333333333333333,6.270833333333333333333333,1.069767441860465116279069
Jermaine Taylor,6.729166666666666666666666,6.291666666666666666666666,1.069536423841059602649006
Steven Adams,7.375,6.895833333333333333333333,1.069486404833836858006042
DaJuan Summers,7.0625,6.604166666666666666666666,1.069400630914826498422713
Terrico White,6.75,6.3125,1.069306930693069306930693
Khem Birch,7.083333333333333333333333,6.625,1.069182389937106918238993
Jared Sullinger,7.104166666666666666666666,6.645833333333333333333333,1.068965517241379310344827
Jerome Jordan,7.4375,6.958333333333333333333333,1.068862275449101796407185
Iman Shumpert,6.791666666666666666666666,6.354166666666666666666666,1.06885245901639344262295
Charles Garcia,7.145833333333333333333333,6.6875,1.068535825545171339563862
Toney Douglas,6.5,6.083333333333333333333333,1.068493150684931506849315
Dwayne Bacon,6.833333333333333333333333,6.395833333333333333333333,1.068403908794788273615635
Phil Pressey,6.1875,5.791666666666666666666666,1.068345323741007194244604
Myck Kabongo,6.520833333333333333333333,6.104166666666666666666666,1.068259385665529010238907
Semaj Christon,6.541666666666666666666666,6.125,1.068027210884353741496598
Jonathan Jeanne,7.541666666666666666666666,7.0625,1.067846607669616519174041
Dorian Finney-Smith,6.979166666666666666666666,6.541666666666666666666666,1.066878980891719745222929
Damian Jones,7.3125,6.854166666666666666666666,1.066869300911854103343465
Jonny Flynn,6.333333333333333333333333,5.9375,1.066666666666666666666666
Devin Ebanks,7.020833333333333333333333,6.583333333333333333333333,1.06645569620253164556962
Isaiah Hicks,7.041666666666666666666666,6.604166666666666666666666,1.066246056782334384858044
Solomon Alabi,7.416666666666666666666666,6.958333333333333333333333,1.065868263473053892215568
Chris Singleton,7.083333333333333333333333,6.645833333333333333333333,1.065830721003134796238244
Edmond Sumner,6.75,6.333333333333333333333333,1.065789473684210526315789
Tyus Jones,6.416666666666666666666666,6.020833333333333333333333,1.065743944636678200692041
Patrick Patterson,7.104166666666666666666666,6.666666666666666666666666,1.065625
DeAndre Bembry,6.770833333333333333333333,6.354166666666666666666666,1.065573770491803278688524
Richaun Holmes,7.125,6.6875,1.065420560747663551401869
Dante Exum,6.791666666666666666666666,6.375,1.065359477124183006535947
Patric Young,7.145833333333333333333333,6.708333333333333333333333,1.065217391304347826086956
Grant Jerrett,7.166666666666666666666666,6.729166666666666666666666,1.065015479876160990712074
Alec Burks,6.833333333333333333333333,6.416666666666666666666666,1.064935064935064935064935
Deshaun Thomas,6.833333333333333333333333,6.416666666666666666666666,1.064935064935064935064935
Elgin Cook,6.833333333333333333333333,6.416666666666666666666666,1.064935064935064935064935
Deyonta Davis,7.208333333333333333333333,6.770833333333333333333333,1.064615384615384615384615
Kris Joseph,6.916666666666666666666666,6.5,1.064102564102564102564102
Dion Waiters,6.604166666666666666666666,6.208333333333333333333333,1.063758389261744966442952
Taurean Prince,6.958333333333333333333333,6.541666666666666666666666,1.06369426751592356687898
Royce White,7.0,6.583333333333333333333333,1.063291139240506329113924
Bradley Beal,6.666666666666666666666666,6.270833333333333333333333,1.063122923588039867109634
Jordan Clarkson,6.666666666666666666666666,6.270833333333333333333333,1.063122923588039867109634
Malcolm Thomas,7.041666666666666666666666,6.625,1.062893081761006289308176
Pat Connaughton,6.729166666666666666666666,6.333333333333333333333333,1.062499999999999999999999
Dionte Christmas,6.75,6.354166666666666666666666,1.062295081967213114754098
P.J. Hairston,6.75,6.354166666666666666666666,1.062295081967213114754098
Brandon Davies,7.125,6.708333333333333333333333,1.06211180124223602484472
Glen Rice,6.770833333333333333333333,6.375,1.06209150326797385620915
JaJuan Johnson (Purdue),7.166666666666666666666666,6.75,1.061728395061728395061728
Will Barton,6.8125,6.416666666666666666666666,1.061688311688311688311688
Danny Green,6.833333333333333333333333,6.4375,1.061488673139158576051779
J.P. Tokoto,6.833333333333333333333333,6.4375,1.061488673139158576051779
Patrick McCaw,6.833333333333333333333333,6.4375,1.061488673139158576051779
Tony Mitchell (Alabama),6.833333333333333333333333,6.4375,1.061488673139158576051779
Norvel Pelle,7.208333333333333333333333,6.791666666666666666666666,1.061349693251533742331288
Austin Daye,7.229166666666666666666666,6.8125,1.061162079510703363914372
Scotty Hopson,6.875,6.479166666666666666666666,1.061093247588424437299035
Demetri McCamey,6.520833333333333333333333,6.145833333333333333333333,1.061016949152542372881355
Justin Patton,7.25,6.833333333333333333333333,1.060975609756097560975609
Jahii Carson,6.166666666666666666666666,5.8125,1.060931899641577060931899
Cleanthony Early,6.895833333333333333333333,6.5,1.060897435897435897435897
De'Aaron Fox,6.541666666666666666666666,6.166666666666666666666666,1.06081081081081081081081
Stephen Zimmerman,7.270833333333333333333333,6.854166666666666666666666,1.060790273556231003039513
Andre Roberson,6.916666666666666666666666,6.520833333333333333333333,1.060702875399361022364217
Sherron Collins,6.208333333333333333333333,5.854166666666666666666666,1.060498220640569395017793
Sean Kilpatrick,6.583333333333333333333333,6.208333333333333333333333,1.060402684563758389261744
Jordan Bell,6.979166666666666666666666,6.583333333333333333333333,1.060126582278481012658227
Moe Harkless,7.0,6.604166666666666666666666,1.059936908517350157728706
Isaiah Austin,7.375,6.958333333333333333333333,1.059880239520958083832335
Frank Mason,6.270833333333333333333333,5.916666666666666666666666,1.059859154929577464788732
Shabazz Napier,6.270833333333333333333333,5.916666666666666666666666,1.059859154929577464788732
Cory Jefferson,7.041666666666666666666666,6.645833333333333333333333,1.059561128526645768025078
Josh Hart,6.708333333333333333333333,6.333333333333333333333333,1.05921052631578947368421
Ivan Rabb,7.125,6.729166666666666666666666,1.058823529411764705882353
Andrew Harrison,6.75,6.375,1.058823529411764705882352
Damyean Dotson,6.75,6.375,1.058823529411764705882352
Hasheem Thabeet,7.520833333333333333333333,7.104166666666666666666666,1.058651026392961876832844
Carrick Felix,6.770833333333333333333333,6.395833333333333333333333,1.058631921824104234527687
Jae Crowder,6.770833333333333333333333,6.395833333333333333333333,1.058631921824104234527687
Joseph Young,6.416666666666666666666666,6.0625,1.058419243986254295532645
Arnett Moultrie,7.1875,6.791666666666666666666666,1.058282208588957055214724
Semi Ojeleye,6.8125,6.4375,1.058252427184466019417475
Tyler Smith,6.8125,6.4375,1.058252427184466019417475
J'Covan Brown,6.4375,6.083333333333333333333333,1.058219178082191780821917
Glenn Robinson,6.833333333333333333333333,6.458333333333333333333333,1.058064516129032258064516
Jamel Artis,6.833333333333333333333333,6.458333333333333333333333,1.058064516129032258064516
Erick Green,6.479166666666666666666666,6.125,1.057823129251700680272108
Tobias Harris,6.916666666666666666666666,6.541666666666666666666666,1.057324840764331210191082
Gary Harris,6.5625,6.208333333333333333333333,1.057046979865771812080536
Darius Morris,6.625,6.270833333333333333333333,1.056478405315614617940199
Derrick White,6.625,6.270833333333333333333333,1.056478405315614617940199
Jerian Grant,6.625,6.270833333333333333333333,1.056478405315614617940199
Jordan Williams,7.020833333333333333333333,6.645833333333333333333333,1.056426332288401253918495
Ben McLemore,6.645833333333333333333333,6.291666666666666666666666,1.056291390728476821192053
Michael Frazier,6.666666666666666666666666,6.3125,1.05610561056105610561056
Kemba Walker,6.291666666666666666666666,5.958333333333333333333333,1.055944055944055944055944
Russ Smith,6.291666666666666666666666,5.958333333333333333333333,1.055944055944055944055944
Trey Thompkins,7.083333333333333333333333,6.708333333333333333333333,1.055900621118012422360248
Quincy Miller,7.104166666666666666666666,6.729166666666666666666666,1.055727554179566563467492
Trey Lyles,7.125,6.75,1.055555555555555555555555
Sylven Landesberg,6.75,6.395833333333333333333333,1.055374592833876221498371
Tony Wroten,6.75,6.395833333333333333333333,1.055374592833876221498371
Bobby Portis,7.166666666666666666666666,6.791666666666666666666666,1.055214723926380368098159
Greg Monroe,7.1875,6.8125,1.055045871559633027522935
Caris LeVert,6.833333333333333333333333,6.479166666666666666666666,1.054662379421221864951768
Jereme Richmond,6.854166666666666666666666,6.5,1.054487179487179487179487
Cat Barber,6.458333333333333333333333,6.125,1.054421768707482993197278
Nolan Smith,6.458333333333333333333333,6.125,1.054421768707482993197278
Vince Hunter,6.916666666666666666666666,6.5625,1.053968253968253968253968
C.J. McCollum,6.520833333333333333333333,6.1875,1.053872053872053872053872
Harrison Barnes,6.9375,6.583333333333333333333333,1.053797468354430379746835
Aaron Gordon,6.979166666666666666666666,6.625,1.053459119496855345911949
Jordan Crawford,6.583333333333333333333333,6.25,1.053333333333333333333333
Gani Lawal,7.0,6.645833333333333333333333,1.053291536050156739811912
Julius Randle,7.0,6.645833333333333333333333,1.053291536050156739811912
Kyle Kuzma,7.020833333333333333333333,6.666666666666666666666666,1.053125
Jeff Pendergraph,7.083333333333333333333333,6.729166666666666666666666,1.052631578947368421052631
Kennedy Meeks,7.083333333333333333333333,6.729166666666666666666666,1.052631578947368421052631
Jordan Hill,7.125,6.770833333333333333333333,1.052307692307692307692307
Devyn Marble,6.75,6.416666666666666666666666,1.051948051948051948051948
Terrence Williams,6.75,6.416666666666666666666666,1.051948051948051948051948
Quinn Cook,6.333333333333333333333333,6.020833333333333333333333,1.051903114186851211072664
Henry Ellenson,7.1875,6.833333333333333333333333,1.051829268292682926829268
Darington Hobson,6.770833333333333333333333,6.4375,1.051779935275080906148867
Jimmer Fredette,6.375,6.0625,1.051546391752577319587628
Richard Howell,6.854166666666666666666666,6.520833333333333333333333,1.051118210862619808306709
V.J. Beachem,6.854166666666666666666666,6.520833333333333333333333,1.051118210862619808306709
Khris Middleton,6.895833333333333333333333,6.5625,1.050793650793650793650793
Dante Cunningham,6.916666666666666666666666,6.583333333333333333333333,1.050632911392405063291139
Derrick Caracter,7.020833333333333333333333,6.6875,1.0498442367601246105919
Jrue Holiday,6.583333333333333333333333,6.270833333333333333333333,1.049833887043189368770764
Austin Rivers,6.604166666666666666666666,6.291666666666666666666666,1.049668874172185430463576
Keifer Sykes,6.166666666666666666666666,5.875,1.049645390070921985815602
Cameron Bairstow,7.0625,6.729166666666666666666666,1.049535603715170278637771
Derrick Walton,6.208333333333333333333333,5.916666666666666666666666,1.049295774647887323943662
Peter Jok,6.666666666666666666666666,6.354166666666666666666666,1.049180327868852459016393
Aaron Harrison,6.6875,6.375,1.04901960784313725490196
Devin Booker,6.6875,6.375,1.04901960784313725490196
Spencer Dinwiddie,6.6875,6.375,1.04901960784313725490196
Zach LaVine,6.6875,6.375,1.04901960784313725490196
Peyton Siva,6.25,5.958333333333333333333333,1.048951048951048951048951
James Anderson,6.708333333333333333333333,6.395833333333333333333333,1.048859934853420195439739
Skal Labissiere,7.208333333333333333333333,6.875,1.048484848484848484848484
DeMarre Carroll,6.833333333333333333333333,6.520833333333333333333333,1.047923322683706070287539
Jaron Blossomgame,6.833333333333333333333333,6.520833333333333333333333,1.047923322683706070287539
Isaiah Miles,6.875,6.5625,1.047619047619047619047619
Justin Jackson,6.895833333333333333333333,6.583333333333333333333333,1.047468354430379746835443
Josh Selby,6.4375,6.145833333333333333333333,1.04745762711864406779661
Cory Joseph,6.458333333333333333333333,6.166666666666666666666666,1.047297297297297297297297
Luke Babbitt,6.9375,6.625,1.047169811320754716981132
Malik Newman,6.479166666666666666666666,6.1875,1.047138047138047138047137
Aaron White,6.958333333333333333333333,6.645833333333333333333333,1.047021943573667711598746
Sam Dekker,6.958333333333333333333333,6.645833333333333333333333,1.047021943573667711598746
Willie Warren,6.5,6.208333333333333333333333,1.046979865771812080536912
Justin Harper,6.979166666666666666666666,6.666666666666666666666666,1.046875
Tyshawn Taylor,6.520833333333333333333333,6.229166666666666666666666,1.046822742474916387959866
Tyler Lydon,7.0,6.6875,1.046728971962616822429906
Andrew Jones,6.541666666666666666666666,6.25,1.046666666666666666666666
Doron Lamb,6.5625,6.270833333333333333333333,1.046511627906976744186046
Malik Beasley,6.583333333333333333333333,6.291666666666666666666666,1.046357615894039735099337
Enes Kanter,7.125,6.8125,1.045871559633027522935779
