Player,Pos,Ht,Wt
Tom Meschery\meschto01,SF,6-6,215
Dorie Murrey\murredo01,PF,6-8,215
Bud Olsen\olsenbu01,PF,6-8,220
Bob Rule\rulebo01,C,6-9,220
Rod Thorn\thornro01,SG,6-4,195
Al Tucker\tuckeal01,PF,6-8,190
Bob Weiss\weissbo01,PG,6-2,180
George Wilson\wilsoge01,C,6-8,225
Bud Acton\actonbu01,SF,6-6,210
Jim Barnett\barneji02,SG,6-4,170
John Barnhill\barnhjo01,PG,6-1,180
John Block\blockjo01,C,6-9,207
Tyrone Britt\brittty01,SG,6-4,190
Hank Finkel\finkeha01,C,7-0,240
Dave Gambee\gambeda01,PF,6-6,215
Johnny Green\greenjo01,PF,6-5,200
Nick Jones\jonesni01,PG,6-2,190
Toby Kimball\kimbato01,PF,6-6,220
Don Kojis\kojisdo01,SF,6-5,215
Jon McGlocklin\mcglojo01,SG,6-5,205
Pat Riley\rileypa01,SG,6-4,205
Jim Ware\wareji01,PF,6-7,210
Art Williams\williar01,PG,6-1,180
Craig Dill\dillcr01,C,6-11,215
Calvin Graham\grahaca01,G,6-2,195
Ira Harge\hargeir01,C,6-9,225
Connie Hawkins\hawkico01,PF,6-8,210
Art Heyman\heymaar01,SF,6-5,205
Bob Hogsett\hogsebo01,F,6-7,230
Jim Jarvis\jarviji01,PG,6-1,175
Arvesta Kelly\kellyar01,G,6-2,175
Tom Kerwin\kerwito01,F,6-7,210
Barry Liebowitz\lieboba01,SG,6-2,180
Bill Meyer\meyerbi01,G,6-3,195
Richard Parks\parksri01,SF,6-7,235
Willie Porter\portewi01,PF,6-7,205
John Postley\postljo01,F,6-5,220
Herschell Turner\turnehe01,PG,6-2,195
Stephen Vacendak\vacenst01,PG,6-1,185
Chico Vaughn\vaughch01,SG,6-2,190
Trooper Washington\washitr01,PF,6-7,215
Dexter Westbrook\westbde01,F,6-8,190
Charles Williams\willich01,PG,6-0,165
Leroy Wright\wrighle01,PF,6-9,215
Richard Clark\clarkri01,PG,6-4,190
Mel Daniels\danieme01,C,6-9,220
Donnie Freeman\freemdo01,SG,6-3,185
Les Hunter\huntele01,PF,6-7,210
Ervin Inniger\inniger01,SG,6-4,190
Gary Keller\kellega01,PF,6-9,220
Terry Kunze\kunzete01,SG,6-4,210
Errol Palmer\palmeer01,SF,6-5,195
Ron Perry\perryro01,PG,6-3,190
Sam Smith\smithsa01,SF,6-7,230
Skip Thoren\thoresk01,C,6-10,230
Matthew Aitch\aitchma01,PF,6-7,230
Ron Bonham\bonharo01,SF,6-5,192
Roger Brown\brownro01,SF,6-5,205
Ollie Darden\dardeol01,PF,6-7,235
Jimmy Dawson\dawsoji01,PG,6-0,175
Bobby Edmonds\edmonbo01,SF,6-6,220
Reggie Harding\hardire01,C,7-0,249
Jerry Harkness\harknje01,PG,6-2,175
Ronald Kozlicki\kozliro01,SF,6-7,215
Freddie Lewis\lewisfr02,SG,6-0,175
Bob Netolicky\netolbo01,PF,6-9,220
George Peeples\peeplge01,C,6-7,190
Jimmy Rayl\raylji01,PG,6-2,175
Howard Bayne\bayneho01,PF,6-6,235
Orbie Bowling\bowlior01,C,6-10,215
Bill Bradley\bradlbi02,SG,5-11,165
Jim Caldwell\caldwji01,C,6-10,240
Darel Carrier\carrida01,SG,6-3,185
Larry Conley\conlela01,SG,6-3,175
Louie Dampier\dampilo01,PG,6-0,170
David Gaines\gaineda01,SG,6-1,170
Stew Johnson\johnsst01,PF,6-8,220
Goose Ligon\ligongo01,PF,6-7,210
Randolph Mahaffey\mahafra01,SF,6-7,210
Cotton Nash\nashco01,SF,6-5,215
Bobby Rascoe\rascobo01,SF,6-4,205
Kendall Rhine\rhineke01,C,6-10,230
Joe Roberts\roberjo01,SF,6-6,214
Rubin Russell\russeru01,SG,6-2,180
George Sutor\sutorge01,C,6-8,235
Tommy Woods\woodsto01,PF,6-7,210
Dan Anderson\anderda01,C,6-10,230
Johnny Austin\austijo01,SG,6-0,170
Al Beard\beardal01,C,6-9,200
Jim Caldwell\caldwji01,C,6-10,240
Art Heyman\heymaar01,SG,6-5,205
Tony Jackson\jacksto01,SG,6-4,200
Stew Johnson\johnsst01,PF,6-8,220
Barry Liebowitz\lieboba01,PG,6-2,180
Bobby Lloyd\lloydbo01,PG,6-2,184
Johnny Mathis\mathijo01,PF,6-6,220
Bob McIntyre\mcintbo01,SF,6-6,215
Mel Nowell\nowelme01,PG,6-2,170
Walter Simon\simonwa01,SF,6-6,200
Bruce Spraggins\spragbr01,SF,6-5,188
Levern Tart\tartle01,SG,6-2,195
Dexter Westbrook\westbde01,F,6-8,190
Hank Whitney\whitnha01,PF,6-7,230
Charles Beasley\beaslch01,SG,6-5,190
John Beasley\beasljo01,C,6-9,225
Jim Burns\burnsji01,SG,6-3,195
Mike Dabich\dabicmi01,C,7-0,242
Cliff Hagan\hagancl01,SF,6-4,210
Dennis Holman\holmade01,PG,6-3,175
Carroll Hooser\hooseca01,PF,6-7,230
Riney Lochmann\lochmri01,SF,6-6,215
Elton McGriff\mcgriel01,C,6-9,225
Maurice McHartley\mcharma01,PG,6-3,185
Rich Peek\peekri01,C,6-11,230
Cincinnatus Powell\powelci01,SF,6-7,220
Rubin Russell\russeru01,G,6-2,180
Bob Verga\vergabo01,SG,6-1,190
Gene Wiley\wileyge01,C,6-10,210
Bobby Wilson\wilsobo02,PF,6-8,215
Byron Beck\beckby01,C,6-9,225
Tommie Bowens\bowento01,PF,6-8,220
Jeffrey Congdon\congdje01,PG,6-1,180
Chuck Gardner\gardnch01,PF,6-8,205
Julian Hammond\hammoju01,SF,6-5,205
Wayne Hightower\hightwa01,PF,6-8,192
Tom Hoover\hooveto01,C,6-9,230
Ron Horn\hornro01,SF,6-7,220
Larry Jones\jonesla01,PG,6-2,180
R.B. Lynam\lynamrb01,G,6-1,190
Richard Moore\mooreri01,SG,6-2,190
John Morrison\morrijo01,G,6-2,190
Willie Murrell\murrewi01,SF,6-6,225
Grant Simmons\simmogr01,PG,6-3,190
Willis Thomas\thomawi01,SG,6-2,185
Lonnie Wright\wrighlo01,SG,6-2,205
Arthur Becker\beckear01,PF,6-7,205
Will Frazier\fraziwi01,PF,6-7,210
Hal Hale\haleha01,PG,6-1,180
Joe Hamood\hamoojo01,SG,6-0,180
Darrell Hardy\hardyda01,F,6-7,220
Leary Lentz\lentzle01,SF,6-6,200
Guy Manning\mannigu01,SF,6-6,195
Dewitt Menyard\menyade01,C,6-10,210
Wayne Molis\moliswa01,C,6-8,230
Jerry Pettway\pettwje01,SG,6-3,185
Bob Riedy\riedybo01,PF,6-6,215
Roger Schurig\schurro01,PG,6-3,185
Willie Somerset\somerwi01,PG,5-8,170
Gary Turner\turnega01,F,6-7,200
Bill Allen\allenbi01,C,6-8,205
Bob Bedell\bedelbo01,PF,6-7,205
Larry Bunce\buncela01,C,7-0,240
Stephen Chubin\chubist01,SG,6-2,200
Jeffrey Congdon\congdje01,PG,6-1,180
Bill Crow\crowbi01,G,6-1,180
Warren Davis\daviswa02,PF,6-6,212
Harry Dinnel\dinneha01,F-G,6-4,200
John Fairchild\faircjo01,SF,6-8,205
Bill Garner\garnebi01,C,6-10,220
Steven Kramer\kramest01,SG,6-5,200
Dick Lee\leedi01,F,6-6,
Larry Moore\moorela01,F,6-7,215
Paul Scranton\scranpa01,F,6-5,230
Lester Selvage\selvale01,PG,6-1,175
Bob Sims\simsbo01,SG,6-5,220
Randy Stoll\stollra01,PF,6-7,235
Willis Thomas\thomawi01,SG,6-2,185
Herschell Turner\turnehe01,PG,6-2,195
Ben Warley\warlebe01,SF,6-5,200
Andrew Anderson\anderan01,PG,6-2,184
Wesley Bialosuknia\bialowe01,SG,6-2,185
Gary Bradds\braddga01,PF,6-8,210
Mike Dabich\dabicmi01,C,7-0,242
Ronald Franz\franzro01,SF,6-7,205
Jim Hadnot\hadnoji01,C,6-10,235
Ira Harge\hargeir01,C,6-9,225
Steve Jones\jonesst01,SG,6-5,205
David Lee\leeda01,SF,6-7,225
Barry Liebowitz\lieboba01,PG,6-2,180
Wayne Molis\moliswa01,C,6-8,230
Mel Peterson\peterme01,SF,6-4,185
Willie Porter\portewi01,PF,6-7,205
Al Salvadori\salvaal01,F,6-9,220
Levern Tart\tartle01,SG,6-2,195
Gene Wiley\wileyge01,C,6-10,210
